,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
141,1.14692,0.88412,1.73623,0.92164,1.11869,1.12494,0.94373,1.23105,1.25322,43.91,32.4,78.07,29.15,32.4,38.46,50,52.5,69.01
142,1.16442,0.91441,1.74735,0.89982,1.15701,1.19748,0.94882,1.04721,1.14589,44.58,33.51,78.57,28.46,33.51,40.94,50.27,44.66,63.1
143,1.19446,0.82164,2.36026,0.85271,1.03962,1.04977,0.92674,0.93255,1.14589,45.73,30.11,106.13,26.97,30.11,35.89,49.1,39.77,63.1
144,1.04479,0.72067,1.46780,0.78948,0.91187,1.07726,0.94222,0.86760,0.96720,40,26.41,66,24.97,26.41,36.83,49.92,37,53.26
145,0.95833,0.71085,1.33436,0.77936,0.89944,1.00531,0.85879,0.72925,0.94523,36.69,26.05,60,24.65,26.05,34.37,45.5,31.1,52.05
146,0.97818,0.68028,1.24429,0.78031,0.86077,0.98981,0.84935,0.68071,0.92707,37.45,24.93,55.95,24.68,24.93,33.84,45,29.03,51.05
147,0.83792,0.61097,1.15645,0.79232,0.77307,0.98951,0.78990,0.68071,0.94432,32.08,22.39,52,25.06,22.39,33.83,41.85,29.03,52
148,0.77001,0.60906,1.12932,0.82520,0.77065,0.98337,0.78990,0.68071,0.92216,29.48,22.32,50.78,26.1,22.32,33.62,41.85,29.03,50.78
149,0.91262,0.66036,1.12843,0.85208,0.83556,0.96407,0.83652,0.80663,0.92144,34.94,24.2,50.74,26.95,24.2,32.96,44.32,34.4,50.74
150,1.09024,0.84592,1.20270,0.99372,1.07035,0.87953,0.98072,1.09411,0.98209,41.74,31,54.08,31.43,31,30.07,51.96,46.66,54.08
151,1.28431,1.15891,1.25163,1.45375,1.46638,0.98220,1.08208,1.38675,1.02204,49.17,42.47,56.28,45.98,42.47,33.58,57.33,59.14,56.28
152,1.42196,1.17256,1.36283,1.51477,1.48364,1.05357,1.31537,1.59450,1.11284,54.44,42.97,61.28,47.91,42.97,36.02,69.69,68,61.28
153,1.33185,1.14418,1.49449,1.54639,1.44773,1.07814,1.33915,1.83180,1.19311,50.99,41.93,67.2,48.91,41.93,36.86,70.95,78.12,65.7
154,1.30599,1.13572,1.63415,1.58085,1.43703,1.06556,1.25327,1.74247,1.14589,50,41.62,73.48,50,41.62,36.43,66.4,74.31,63.1
155,1.33785,1.13244,1.57210,1.61942,1.43288,1.14103,1.20759,1.78209,1.19311,51.22,41.5,70.69,51.22,41.5,39.01,63.98,76,65.7
156,1.30991,1.10952,1.57210,1.58559,1.40388,1.15536,1.03791,1.29671,1.00969,50.15,40.66,70.69,50.15,40.66,39.5,54.99,55.3,55.6
157,1.34412,1.10052,1.41731,1.62701,1.39249,1.14132,0.99318,1.31734,1.12410,51.46,40.33,63.73,51.46,40.33,39.02,52.62,56.18,61.9
158,1.32897,0.99628,1.22517,1.60867,1.26059,1.12903,1.21439,1.54057,0.97592,50.88,36.51,55.09,50.88,36.51,38.6,64.34,65.7,53.74
159,1.25375,0.91387,1.18447,1.51762,1.15632,1.14892,1.22684,1.64140,0.96720,48,33.49,53.26,48,33.49,39.28,65,70,53.26
160,1.23129,0.93297,1.31390,1.49042,1.18049,1.37327,1.22722,1.80765,1.07289,47.14,34.19,59.08,47.14,34.19,46.95,65.02,77.09,59.08
161,1.33394,1.10952,1.55653,1.61468,1.40388,1.66752,1.23081,2.00954,1.27102,51.07,40.66,69.99,51.07,40.66,57.01,65.21,85.7,69.99
162,1.37024,1.11334,1.70176,1.49928,1.40871,1.58006,1.18909,1.73285,1.38960,52.46,40.8,76.52,47.42,40.8,54.02,63,73.9,76.52
163,1.27412,1.14882,1.74090,1.41739,1.28407,1.37239,1.09906,1.54761,1.42156,48.78,42.1,78.28,44.83,37.19,46.92,58.23,66,78.28
164,1.23938,0.99600,1.51739,1.07055,1.10280,1.11499,0.98336,1.43060,1.23488,47.45,36.5,68.23,33.86,31.94,38.12,52.1,61.01,68
165,1.09755,0.94143,1.33436,0.86694,0.93258,1.02637,0.95411,1.29811,1.08960,42.02,34.5,60,27.42,27.01,35.09,50.55,55.36,60
166,1.19028,0.91387,1.36083,0.85429,0.95019,1.11441,0.93957,1.19119,1.08960,45.57,33.49,61.19,27.02,27.52,38.1,49.78,50.8,60
167,1.19106,0.78480,1.46980,0.69905,0.80794,1.00999,0.93957,0.99610,1.14589,45.6,28.76,66.09,22.11,23.4,34.53,49.78,42.48,63.1
168,1.14613,0.66473,1.53896,0.69304,0.41847,0.99039,0.87729,0.90183,0.98245,43.88,24.36,69.2,21.92,12.12,33.86,46.48,38.46,54.1
169,0.93117,0.52747,1.35816,0.61179,0.59491,0.99858,0.77102,0.82140,0.95176,35.65,19.33,61.07,19.35,17.23,34.14,40.85,35.03,52.41
170,0.93692,0.43933,1.23362,0.50935,0.47993,0.99332,0.75555,0.74309,0.95195,35.87,16.1,55.47,16.11,13.9,33.96,40.03,31.69,52.42
171,0.78803,0.40932,1.11686,0.47204,0.41813,1.02403,0.73328,0.67438,0.91199,30.17,15,50.22,14.93,12.11,35.01,38.85,28.76,50.22
172,0.64098,0.40932,1.06727,0.47425,0.44851,1.05503,0.73799,0.66617,0.87150,24.54,15,47.99,15,12.99,36.07,39.1,28.41,47.99
