Hour,Export [MW],,,Import [MW],,,Export [MW/MWmax],,,Import [MW/MWmax],,
186,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
187,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
188,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
189,5200,5200,5200,1636,1936,2936,1,1,1,0.51125,0.605,0.9175
190,5200,5200,5200,1436,1436,2936,1,1,1,0.44875,0.44875,0.9175
191,5200,5200,5200,1436,936,2936,1,1,1,0.44875,0.2925,0.9175
192,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
193,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
194,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
195,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
196,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
197,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
198,5200,5200,5200,1236,936,2936,1,1,1,0.38625,0.2925,0.9175
199,5200,5200,5200,1436,1536,3200,1,1,1,0.44875,0.48,1
200,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
201,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
202,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
203,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
204,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
205,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
206,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
207,5200,5200,5200,1436,2136,3200,1,1,1,0.44875,0.6675,1
208,5200,5200,5200,1436,2136,3000,1,1,1,0.44875,0.6675,0.9375
209,5200,5200,5200,1436,2136,3000,1,1,1,0.44875,0.6675,0.9375
210,5200,5200,5200,1436,2136,3000,1,1,1,0.44875,0.6675,0.9375
211,5200,5200,5200,1436,2136,2500,1,1,1,0.44875,0.6675,0.78125
212,5200,5200,5200,1436,2136,2500,1,1,1,0.44875,0.6675,0.78125
213,5200,5200,5200,1436,2136,2500,1,1,1,0.44875,0.6675,0.78125
214,5200,5200,5200,1236,1536,2300,1,1,1,0.38625,0.48,0.71875
215,5200,5200,5200,1236,936,2300,1,1,1,0.38625,0.2925,0.71875
