,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
148,2513,2513,3016,1910,1910,1910,0.592688679,0.554501324,0.66548985,1,1,1
149,3263,3263,3016,1910,1910,1910,0.769575472,0.719991174,0.66548985,1,1,1
150,3710,3710,3016,1910,1910,1910,0.875,0.818623124,0.66548985,1,1,1
151,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
152,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
153,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
154,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
155,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
156,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
157,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
158,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
159,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
160,4240,4240,3016,1810,1810,1810,1,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
161,4240,4240,3792,1810,1810,1810,1,0.935569285,0.836716681,0.947643979,0.947643979,0.947643979
162,4240,4240,3997,1810,1810,1810,1,0.935569285,0.881950574,0.947643979,0.947643979,0.947643979
163,4240,4240,3997,1810,1810,1810,1,0.935569285,0.881950574,0.947643979,0.947643979,0.947643979
164,4240,4240,3997,1810,1810,1810,1,0.935569285,0.881950574,0.947643979,0.947643979,0.947643979
165,4240,4240,3997,1810,1810,1810,1,0.935569285,0.881950574,0.947643979,0.947643979,0.947643979
166,4240,4240,3562,1810,1810,1810,1,0.935569285,0.785966461,0.947643979,0.947643979,0.947643979
167,3710,3710,2787,1910,1910,1910,0.875,0.818623124,0.614960282,1,1,1
168,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
169,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
170,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
171,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
172,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
173,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
174,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
175,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
176,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
177,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
178,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
179,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
180,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
181,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
182,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
183,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
184,4240,4240,2011,1810,1810,1910,1,0.935569285,0.443733451,0.947643979,0.947643979,1
185,4240,4240,2811,1810,1810,1910,1,0.935569285,0.620255958,0.947643979,0.947643979,1
186,4240,4240,3611,1810,1810,1910,1,0.935569285,0.796778464,0.947643979,0.947643979,1
187,4240,4240,3710,1810,1810,1910,1,0.935569285,0.818623124,0.947643979,0.947643979,1
188,4240,4240,3710,1810,1810,1910,1,0.935569285,0.818623124,0.947643979,0.947643979,1
189,4240,4240,3710,1810,1810,1910,1,0.935569285,0.818623124,0.947643979,0.947643979,1
190,4240,4240,3611,1810,1810,1910,1,0.935569285,0.796778464,0.947643979,0.947643979,1
191,3710,3710,2811,1910,1910,1910,0.875,0.818623124,0.620255958,1,1,1
192,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
193,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
194,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
195,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
196,3710,3710,2011,1910,1910,1910,0.875,0.818623124,0.443733451,1,1,1
197,3710,3710,2811,1910,1910,1910,0.875,0.818623124,0.620255958,1,1,1
198,3710,3710,3611,1910,1910,1910,0.875,0.818623124,0.796778464,1,1,1
199,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
200,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
201,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
202,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
203,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
204,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
205,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
206,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
207,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
208,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
209,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
210,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
211,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
212,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
213,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
214,4240,4013,4240,1810,1810,1810,1,0.885481024,0.935569285,0.947643979,0.947643979,0.947643979
215,3710,3263,3710,1910,1910,1910,0.875,0.719991174,0.818623124,1,1,1
216,3710,2513,3932,1910,1910,1910,0.875,0.554501324,0.86760812,1,1,1
217,3710,2513,3932,1910,1910,1910,0.875,0.554501324,0.86760812,1,1,1
218,3710,2513,3932,1910,1910,1910,0.875,0.554501324,0.86760812,1,1,1
219,3710,2513,3944,1910,1910,1910,0.875,0.554501324,0.870255958,1,1,1
220,3710,2513,3944,1910,1910,1910,0.875,0.554501324,0.870255958,1,1,1
221,3710,2513,3944,1910,1910,1910,0.875,0.554501324,0.870255958,1,1,1
222,3710,2513,3944,1910,1910,1910,0.875,0.554501324,0.870255958,1,1,1
223,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
224,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
225,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
226,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
227,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
228,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
229,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
230,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
231,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
232,4240,2513,3997,1810,1910,1810,1,0.554501324,0.881950574,0.947643979,1,0.947643979
233,4240,3263,3997,1810,1910,1810,1,0.719991174,0.881950574,0.947643979,1,0.947643979
234,4240,3710,4231,1810,1910,1810,1,0.818623124,0.933583407,0.947643979,1,0.947643979
235,4240,3710,4231,1810,1910,1810,1,0.818623124,0.933583407,0.947643979,1,0.947643979
236,4240,3710,4231,1810,1910,1810,1,0.818623124,0.933583407,0.947643979,1,0.947643979
237,4240,3710,4231,1810,1910,1810,1,0.818623124,0.933583407,0.947643979,1,0.947643979
238,4240,3710,4231,1810,1910,1810,1,0.818623124,0.933583407,0.947643979,1,0.947643979
